Site,Date,Parameter,DL,RDC,ResultRaw,ResultCalc
TL,2015-04-08,organic_carbon_dissolved,NA,DET,18.8,18.8
TL,2015-04-08,organic_carbon_total,NA,DET,20.9,20.9
TL,2015-04-08,phosphorus_dissolved,NA,DET,0.003,0.003
TL,2015-04-08,phosphorus_total,NA,DET,0.02,0.02
TL,2015-04-08,alkalinity_total,NA,DET,224,224
TL,2015-04-08,specific_conductance,NA,DET,475,475
TL,2015-04-08,total_dissolved_solids,NA,DET,310,310
TL,2015-04-08,total_suspended_solids,NA,DET,13,13
TL,2015-04-08,calcium,NA,DET,77.9,77.9
TL,2015-04-08,chloride,NA,DET,4,4
TL,2015-04-08,fluoride,NA,DET,0.1,0.1
TL,2015-04-08,magnesium,NA,DET,15,15
TL,2015-04-08,nitrate,NA,DET,0.2,0.2
TL,2015-04-08,nitrite,0.01,BDL,0.01,0.005
TL,2015-04-08,potassium,NA,DET,1,1
TL,2015-04-08,sodium,NA,DET,11.1,11.1
TL,2015-04-08,sulfate,NA,DET,33,33
TL,2015-04-08,aluminum_dissolved,NA,DET,2.7,2.7
TL,2015-04-08,antimony_dissolved,NA,DET,0.1,0.1
TL,2015-04-08,arsenic_dissolved,NA,DET,0.4,0.4
TL,2015-04-08,barium_dissolved,NA,DET,59.9,59.9
TL,2015-04-08,beryllium_dissolved,0.1,BDL,0.1,0.05
TL,2015-04-08,cadmium_dissolved,0.05,BDL,0.05,0.025
TL,2015-04-08,cesium_dissolved,0.1,BDL,0.1,0.05
TL,2015-04-08,chromium_dissolved,NA,DET,1,1
TL,2015-04-08,cobalt_dissolved,NA,DET,0.1,0.1
TL,2015-04-08,copper_dissolved,NA,DET,0.7,0.7
TL,2015-04-08,iron_dissolved,NA,DET,67,67
TL,2015-04-08,lead_dissolved,0.1,BDL,0.1,0.05
TL,2015-04-08,lithium_dissolved,NA,DET,7.3,7.3
TL,2015-04-08,manganese_dissolved,NA,DET,74.5,74.5
TL,2015-04-08,molybdenum_dissolved,NA,DET,0.07,0.07
TL,2015-04-08,nickel_dissolved,NA,DET,2.1,2.1
TL,2015-04-08,rubidium_dissolved,NA,DET,0.7,0.7
TL,2015-04-08,selenium_dissolved,0.3,BDL,0.3,0.15
TL,2015-04-08,silver_dissolved,0.4,BDL,0.4,0.2
TL,2015-04-08,strontium_dissolved,NA,DET,157,157
TL,2015-04-08,thallium_dissolved,0.1,BDL,0.1,0.05
TL,2015-04-08,titanium_dissolved,0.1,BDL,0.1,0.05
TL,2015-04-08,uranium_dissolved,NA,DET,0.4,0.4
TL,2015-04-08,vanadium_dissolved,NA,DET,0.1,0.1
TL,2015-04-08,zinc_dissolved,NA,DET,4,4
TL,2015-04-08,aluminum_total,NA,DET,120,120
TL,2015-04-08,antimony_total,NA,DET,0.2,0.2
TL,2015-04-08,arsenic_total,NA,DET,0.5,0.5
TL,2015-04-08,barium_total,NA,DET,61.1,61.1
TL,2015-04-08,beryllium_total,0.1,BDL,0.1,0.05
TL,2015-04-08,cadmium_total,0.1,BDL,0.1,0.05
TL,2015-04-08,cesium_total,0.1,BDL,0.1,0.05
TL,2015-04-08,chromium_total,NA,DET,0.7,0.7
TL,2015-04-08,cobalt_total,NA,DET,0.2,0.2
TL,2015-04-08,copper_total,NA,DET,1.1,1.1
TL,2015-04-08,iron_total,NA,DET,499,499
TL,2015-04-08,lead_total,NA,DET,0.7,0.7
TL,2015-04-08,lithium_total,NA,DET,8,8
TL,2015-04-08,manganese_total,NA,DET,75,75
TL,2015-04-08,molybdenum_total,NA,DET,0.5,0.5
TL,2015-04-08,nickel_total,NA,DET,1.1,1.1
TL,2015-04-08,rubidium_total,NA,DET,0.9,0.9
TL,2015-04-08,selenium_total,0.5,BDL,0.5,0.25
TL,2015-04-08,silver_total,NA,DET,0.2,0.2
TL,2015-04-08,strontium_total,NA,DET,143,143
TL,2015-04-08,thallium_total,NA,DET,0.8,0.8
TL,2015-04-08,titanium_total,NA,DET,4.5,4.5
TL,2015-04-08,uranium_total,NA,DET,0.4,0.4
