Site,Date,Parameter,DL,RDC,ResultRaw,ResultCalc,ResultCalcLog
TL,2014-08-27,nitrite,0.01,BDL,0.01,0.005,-5.298317367
TL,2014-08-27,potassium,NA,DET,0.3,0.3,-1.203972804
TL,2014-08-27,sodium,NA,DET,4.7,4.7,1.547562509
TL,2014-08-27,sulfate,NA,DET,14,14,2.63905733
TL,2014-08-27,aluminum_dissolved,NA,DET,2.7,2.7,0.993251773
TL,2014-08-27,antimony_dissolved,NA,DET,0.1,0.1,-2.302585093
TL,2014-08-27,arsenic_dissolved,NA,DET,0.4,0.4,-0.916290732
TL,2014-08-27,barium_dissolved,NA,DET,39.9,39.9,3.686376324
TL,2014-08-27,beryllium_dissolved,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-08-27,cadmium_dissolved,0.05,BDL,0.05,0.025,-3.688879454
TL,2014-08-27,cesium_dissolved,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-08-27,chromium_dissolved,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-08-27,cobalt_dissolved,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-08-27,copper_dissolved,0.2,BDL,0.2,0.1,-2.302585093
TL,2014-08-27,iron_dissolved,NA,DET,38,38,3.63758616
TL,2014-08-27,lead_dissolved,NA,DET,0.1,0.1,-2.302585093
TL,2014-08-27,lithium_dissolved,NA,DET,4.8,4.8,1.568615918
TL,2014-08-27,manganese_dissolved,NA,DET,0.4,0.4,-0.916290732
TL,2014-08-27,mercury_dissolved,0.01,BDL,0.01,0.005,-5.298317367
TL,2014-08-27,molybdenum_dissolved,NA,DET,0.5,0.5,-0.693147181
TL,2014-08-27,nickel_dissolved,NA,DET,0.6,0.6,-0.510825624
TL,2014-08-27,rubidium_dissolved,NA,DET,0.6,0.6,-0.510825624
TL,2014-08-27,selenium_dissolved,0.3,BDL,0.3,0.15,-1.897119985
TL,2014-08-27,silver_dissolved,0.3,BDL,0.3,0.15,-1.897119985
TL,2014-08-27,strontium_dissolved,NA,DET,96.1,96.1,4.565389316
TL,2014-08-27,thallium_dissolved,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-08-27,titanium_dissolved,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-08-27,uranium_dissolved,NA,DET,0.2,0.2,-1.609437912
TL,2014-08-27,vanadium_dissolved,NA,DET,0.2,0.2,-1.609437912
TL,2014-08-27,zinc_dissolved,NA,DET,2.5,2.5,0.916290732
TL,2014-08-27,aluminum_total,NA,DET,30.7,30.7,3.424262655
TL,2014-08-27,antimony_total,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-08-27,arsenic_total,NA,DET,0.6,0.6,-0.510825624
TL,2014-08-27,barium_total,NA,DET,44.8,44.8,3.802208139
TL,2014-08-27,beryllium_total,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-08-27,cadmium_total,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-08-27,cesium_total,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-08-27,chromium_total,NA,DET,1.2,1.2,0.182321557
TL,2014-08-27,cobalt_total,NA,DET,0.1,0.1,-2.302585093
TL,2014-08-27,copper_total,NA,DET,0.3,0.3,-1.203972804
TL,2014-08-27,iron_total,NA,DET,315,315,5.752572639
TL,2014-08-27,lead_total,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-08-27,lithium_total,NA,DET,5.2,5.2,1.648658626
TL,2014-08-27,manganese_total,NA,DET,15.7,15.7,2.753660712
TL,2014-08-27,mercury_total,NA,DET,0.01,0.01,-4.605170186
TL,2014-08-27,molybdenum_total,NA,DET,0.6,0.6,-0.510825624
TL,2014-08-27,nickel_total,NA,DET,0.8,0.8,-0.223143551
